127.0.0.1 - - [08/Jul/2021:22:29:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Jul/2021:22:29:31 +0900] "GET /sendmail/ HTTP/1.1" 200 4302
0:0:0:0:0:0:0:1 - - [08/Jul/2021:22:29:31 +0900] "GET /sendmail/css/bootstrap/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [08/Jul/2021:22:29:31 +0900] "GET /sendmail/css/bootstrap/css/sb-admin-2.min.css HTTP/1.1" 200 171013
0:0:0:0:0:0:0:1 - - [08/Jul/2021:22:29:31 +0900] "GET /sendmail/js/jquery-3.5.1.min.js;jsessionid=AB83848127DC8C3E5F16B927783C6337 HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [08/Jul/2021:22:29:31 +0900] "GET /sendmail/css/bootstrap/vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [08/Jul/2021:22:29:31 +0900] "GET /sendmail/css/bootstrap/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
0:0:0:0:0:0:0:1 - - [08/Jul/2021:22:29:31 +0900] "GET /sendmail/css/bootstrap/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [08/Jul/2021:22:29:31 +0900] "GET /sendmail/css/bootstrap/js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [08/Jul/2021:23:03:42 +0900] "GET /sendmail/ HTTP/1.1" 200 4302
0:0:0:0:0:0:0:1 - - [08/Jul/2021:23:03:42 +0900] "GET /sendmail/css/bootstrap/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [08/Jul/2021:23:03:42 +0900] "GET /sendmail/css/bootstrap/css/sb-admin-2.min.css HTTP/1.1" 200 171013
0:0:0:0:0:0:0:1 - - [08/Jul/2021:23:03:42 +0900] "GET /sendmail/js/jquery-3.5.1.min.js;jsessionid=6335B17D377452F35037EAED3D65D85E HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [08/Jul/2021:23:03:42 +0900] "GET /sendmail/css/bootstrap/vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [08/Jul/2021:23:03:42 +0900] "GET /sendmail/css/bootstrap/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
0:0:0:0:0:0:0:1 - - [08/Jul/2021:23:03:42 +0900] "GET /sendmail/css/bootstrap/js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [08/Jul/2021:23:03:42 +0900] "GET /sendmail/css/bootstrap/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [08/Jul/2021:23:03:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
