127.0.0.1 - - [01/Aug/2021:21:42:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:41 +0900] "GET /sendmail HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:41 +0900] "GET /sendmail/ HTTP/1.1" 200 9140
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:41 +0900] "GET /sendmail/css/bootstrap/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:41 +0900] "GET /sendmail/css/bootstrap/css/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:41 +0900] "GET /sendmail/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:41 +0900] "GET /sendmail/css/bootstrap/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:41 +0900] "GET /sendmail/css/bootstrap/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:41 +0900] "GET /sendmail/css/bootstrap/js/sb-admin-2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:41 +0900] "GET /sendmail/css/bootstrap/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:41 +0900] "GET /sendmail/css/bootstrap/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 316181
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:44 +0900] "POST /sendmail/login.do HTTP/1.1" 200 11255
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:44 +0900] "GET /sendmail/css/bootstrap/js/demo/chart-area-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:44 +0900] "GET /sendmail/css/bootstrap/vendor/chart.js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:44 +0900] "GET /sendmail/css/bootstrap/js/demo/chart-pie-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:44 +0900] "GET /sendmail/css/bootstrap/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:44 +0900] "GET /sendmail/css/bootstrap/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:44 +0900] "GET /sendmail/css/bootstrap/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 316181
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:48 +0900] "GET /sendmail/outbox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 13464
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:48 +0900] "GET /sendmail/css/bootstrap/vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:49 +0900] "GET /sendmail/inbox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 12221
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:50 +0900] "GET /sendmail/wholebox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 12934
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:51 +0900] "GET /sendmail/inbox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 12221
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:52 +0900] "GET /sendmail/inbox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 12221
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:53 +0900] "GET /sendmail/outbox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 13464
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:56 +0900] "GET /sendmail/writePage.do HTTP/1.1" 200 15247
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:42:56 +0900] "GET /sendmail/js/ckeditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:44:47 +0900] "GET /sendmail/writePage.do HTTP/1.1" 200 15247
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:44:50 +0900] "GET /sendmail/writePage.do HTTP/1.1" 200 15247
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:44:51 +0900] "GET /sendmail/writePage.do HTTP/1.1" 200 15247
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:44:52 +0900] "GET /sendmail/writePage.do HTTP/1.1" 200 15247
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:44:53 +0900] "GET /sendmail/writePage.do HTTP/1.1" 200 15247
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:44:54 +0900] "GET /sendmail/writePage.do HTTP/1.1" 200 15247
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:44:55 +0900] "GET /sendmail/writePage.do HTTP/1.1" 200 15164
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:49:27 +0900] "GET /sendmail/outbox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:49:27 +0900] "GET /sendmail/css/egovframework/sample.css HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:51:12 +0900] "GET /sendmail/outbox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 13464
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:51:13 +0900] "GET /sendmail/inbox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 500 1039
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:51:13 +0900] "GET /sendmail/css/egovframework/sample.css HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:51:18 +0900] "GET /sendmail/wholebox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 500 1039
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:51:18 +0900] "GET /sendmail/css/egovframework/sample.css HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:51:21 +0900] "GET /sendmail/inbox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 500 1039
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:51:21 +0900] "GET /sendmail/css/egovframework/sample.css HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:52:15 +0900] "GET /sendmail/wholebox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 12934
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:52:16 +0900] "GET /sendmail/inbox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 12221
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:52:16 +0900] "GET /sendmail/outbox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 13464
